PDB,total_residues_all,altloc_residues_all,proportion_altlocs_all,total_residues_close,altloc_residues_close,proportion_altlocs_close
1A72,374,0,0.0,31,0,0.0
1A7Y,12,0,0.0,4,0,0.0
1A7Z,2,0,0.0,1,0,0.0
1A80,277,0,0.0,30,0,0.0
1A8A,318,0,0.0,9,0,0.0
1A8B,318,0,0.0,7,0,0.0
1A8G,198,0,0.0,18,0,0.0
1A8I,812,0,0.0,27,0,0.0
1A8T,458,0,0.0,19,0,0.0
1ACJ,528,0,0.0,17,0,0.0
1ACL,527,0,0.0,15,0,0.0
1AE1,503,0,0.0,31,0,0.0
1AER,400,0,0.0,22,0,0.0
1AF2,294,0,0.0,16,0,0.0
1AF7,274,0,0.0,27,0,0.0
1AG9,350,0,0.0,25,0,0.0
1AGN,1492,0,0.0,36,0,0.0
1AH0,315,1,0.0031746031746031746,33,0,0.0
1AH3,314,0,0.0,33,0,0.0
1AH4,314,2,0.006369426751592357,33,0,0.0
1AH5,294,0,0.0,24,0,0.0
1AHN,169,0,0.0,24,0,0.0
1AHP,1592,0,0.0,20,0,0.0
1AI4,763,0,0.0,15,0,0.0
1AI5,763,0,0.0,14,0,0.0
1AI6,752,0,0.0,15,0,0.0
1AJ6,194,0,0.0,14,0,0.0
1AJ7,430,0,0.0,15,0,0.0
1AJN,763,0,0.0,15,0,0.0
1AJP,763,2,0.002621231979030144,13,3,0.23076923076923078
1AJQ,763,3,0.003931847968545216,14,0,0.0
1AJR,822,1,0.0012165450121654502,28,0,0.0
1AJS,823,0,0.0,27,0,0.0
1AJV,198,0,0.0,17,0,0.0
1AJX,198,0,0.0,15,0,0.0
1AKD,405,0,0.0,13,0,0.0
1AKE,428,1,0.002336448598130841,45,3,0.06666666666666667
1AKQ,147,0,0.0,23,0,0.0
1AKR,147,0,0.0,22,0,0.0
1AKT,147,0,0.0,22,0,0.0
1AKU,147,0,0.0,23,0,0.0
1AKV,147,0,0.0,24,0,0.0
1AKW,147,0,0.0,22,0,0.0
1AKY,218,0,0.0,45,0,0.0
1AL6,435,0,0.0,27,0,0.0
1AL8,344,0,0.0,26,0,0.0
1ALN,294,0,0.0,16,0,0.0
1AMN,526,0,0.0,19,0,0.0
1AMU,1019,0,0.0,21,0,0.0
1AMZ,435,0,0.0,28,0,0.0
1AO0,1820,0,0.0,15,0,0.0
1AOD,274,0,0.0,9,0,0.0
1AOG,968,0,0.0,50,0,0.0
1AON,8015,0,0.0,23,0,0.0
1AP9,219,0,0.0,19,0,0.0
1AQ1,277,0,0.0,22,0,0.0
1AQ2,534,0,0.0,25,0,0.0
1AQ7,220,0,0.0,7,0,0.0
1AQB,175,3,0.017142857142857144,28,0,0.0
1AQI,764,0,0.0,18,0,0.0
1AQJ,764,0,0.0,20,0,0.0
1AS0,313,0,0.0,32,0,0.0
1AS2,315,0,0.0,26,0,0.0
1AS3,330,0,0.0,25,0,0.0
1ASL,792,0,0.0,28,0,0.0
1ASM,792,0,0.0,21,0,0.0
1ASN,792,0,0.0,20,0,0.0
1ATP,354,0,0.0,30,0,0.0
1AUK,480,0,0.0,7,0,0.0
1AUX,584,0,0.0,20,0,0.0
1AV4,619,1,0.0016155088852988692,18,0,0.0
1AV6,295,0,0.0,16,0,0.0
1AV7,273,0,0.0,21,0,0.0
1AVL,619,1,0.0016155088852988692,20,3,0.15
1AVT,273,0,0.0,21,0,0.0
1AX4,1856,0,0.0,27,0,0.0
1AX9,527,0,0.0,16,0,0.0
1AXB,263,0,0.0,15,0,0.0
1AXE,748,0,0.0,35,0,0.0
1AXG,1496,0,0.0,37,0,0.0
1AY2,158,0,0.0,8,0,0.0
1AYA,217,0,0.0,14,0,0.0
1AYB,107,0,0.0,14,0,0.0
1AZ1,314,0,0.0,31,0,0.0
1AZ2,314,0,0.0,31,0,0.0
1AZM,258,0,0.0,16,0,0.0
1AZS,718,0,0.0,21,0,0.0
1B02,279,0,0.0,19,0,0.0
1B0D,129,0,0.0,8,0,0.0
1B11,113,5,0.04424778761061947,13,4,0.3076923076923077
1B1C,166,0,0.0,23,0,0.0
1B38,290,0,0.0,24,0,0.0
1B39,290,0,0.0,25,0,0.0
1B3A,134,1,0.007462686567164179,8,0,0.0
1B3N,411,0,0.0,17,0,0.0
1B42,291,0,0.0,24,0,0.0
1B48,442,0,0.0,24,0,0.0
1B54,230,0,0.0,13,0,0.0
1B57,692,0,0.0,17,0,0.0
1B59,355,0,0.0,20,0,0.0
1B5Q,1383,0,0.0,46,0,0.0
1B62,333,0,0.0,24,0,0.0
1B63,333,0,0.0,27,0,0.0
1B6A,355,0,0.0,20,0,0.0
1B6J,198,7,0.03535353535353535,19,0,0.0
1B6K,194,9,0.04639175257731959,30,5,0.16666666666666666
1B6L,194,15,0.07731958762886598,30,4,0.13333333333333333
1B6M,194,12,0.061855670103092786,30,6,0.2
1B6P,194,8,0.041237113402061855,30,4,0.13333333333333333
1B7Y,1040,0,0.0,30,0,0.0
1B80,692,2,0.002890173410404624,15,3,0.2
1B8F,506,0,0.0,15,0,0.0
1B8G,846,2,0.002364066193853428,19,0,0.0
1B9C,896,0,0.0,26,0,0.0
1B9H,384,0,0.0,20,0,0.0
1B9S,390,0,0.0,21,0,0.0
1B9T,390,0,0.0,20,0,0.0
1B9V,390,0,0.0,21,0,0.0
1BA0,378,0,0.0,24,0,0.0
1BA1,378,0,0.0,25,0,0.0
1BAV,1228,0,0.0,14,0,0.0
1BC5,274,0,0.0,27,0,0.0
1BCC,2000,0,0.0,19,0,0.0
1BCP,1870,0,0.0,21,0,0.0
1BCU,249,1,0.004016064257028112,14,0,0.0
1BDB,267,0,0.0,37,0,0.0
1BDO,80,1,0.0125,9,0,0.0
1BDQ,198,0,0.0,15,0,0.0
1BDR,198,0,0.0,15,0,0.0
1BE4,453,0,0.0,15,0,0.0
1BE6,274,0,0.0,15,0,0.0
1BE8,274,0,0.0,14,0,0.0
1BEU,642,0,0.0,34,0,0.0
1BF4,78,0,0.0,10,0,0.0
1BF5,580,0,0.0,3,0,0.0
1BFD,523,6,0.011472275334608031,19,0,0.0
1BFF,128,0,0.0,7,0,0.0
1BFV,232,0,0.0,14,0,0.0
1BG0,356,0,0.0,22,0,0.0
1BG9,403,0,0.0,5,0,0.0
1BGJ,391,0,0.0,41,0,0.0
1BGN,391,0,0.0,41,0,0.0
1BGQ,214,0,0.0,15,0,0.0
1BH5,718,0,0.0,24,0,0.0
1BH6,274,6,0.021897810218978103,30,3,0.1
1BHN,906,0,0.0,16,0,0.0
1BIB,294,0,0.0,19,0,0.0
1BIF,432,6,0.013888888888888888,28,0,0.0
1BIK,110,0,0.0,6,0,0.0
1BIQ,680,3,0.004411764705882353,13,0,0.0
1BJN,718,5,0.006963788300835654,26,3,0.11538461538461539
1BJO,719,0,0.0,26,0,0.0
1BJQ,1940,0,0.0,9,0,0.0
1BJV,220,0,0.0,21,0,0.0
1BK0,329,0,0.0,24,0,0.0
1BKF,107,0,0.0,16,0,0.0
1BKM,102,0,0.0,16,0,0.0
1BKW,391,0,0.0,40,0,0.0
1BKY,291,0,0.0,24,0,0.0
1BM2,102,3,0.029411764705882353,14,0,0.0
1BMB,106,2,0.018867924528301886,14,0,0.0
1BMF,2987,0,0.0,21,0,0.0
1BMQ,255,0,0.0,20,0,0.0
1BO5,996,0,0.0,7,0,0.0
1BOB,306,0,0.0,26,0,0.0
1BOF,324,0,0.0,26,0,0.0
1BPW,2012,0,0.0,34,0,0.0
1BPY,356,0,0.0,19,0,0.0
1BQ6,387,15,0.03875968992248062,21,0,0.0
1BQ9,53,7,0.1320754716981132,7,0,0.0
1BQH,1256,0,0.0,7,0,0.0
1BQS,209,0,0.0,4,0,0.0
1BR5,267,0,0.0,15,0,0.0
1BR6,268,0,0.0,15,0,0.0
1BRD,177,0,0.0,21,0,0.0
1CET,299,0,0.0,12,0,0.0
1CF0,284,0,0.0,9,0,0.0
1CF2,1344,0,0.0,31,0,0.0
1CF3,581,0,0.0,47,0,0.0
1CFV,232,0,0.0,15,0,0.0
1CG0,431,0,0.0,24,0,0.0
1CG1,431,0,0.0,26,0,0.0
1CG3,431,0,0.0,24,0,0.0
1CG4,431,0,0.0,24,0,0.0
1CGH,220,0,0.0,18,0,0.0
1CGK,387,15,0.03875968992248062,25,10,0.4
1CGZ,387,15,0.03875968992248062,25,10,0.4
1CIP,316,0,0.0,32,0,0.0
1CIV,374,0,0.0,34,0,0.0
1CIW,928,0,0.0,4,0,0.0
1CJ0,930,0,0.0,22,0,0.0
1CJ2,391,0,0.0,41,0,0.0
1CJ3,392,0,0.0,39,0,0.0
1CJ4,392,0,0.0,40,0,0.0
1CJC,455,11,0.024175824175824177,42,14,0.3333333333333333
1CJF,306,0,0.0,6,0,0.0
1CJK,709,0,0.0,31,0,0.0
1CJP,948,0,0.0,11,0,0.0
1CJT,708,0,0.0,31,0,0.0
1CJU,709,0,0.0,31,0,0.0
1CJV,706,0,0.0,31,0,0.0
1CKN,633,0,0.0,19,0,0.0
1CKO,317,0,0.0,19,0,0.0
1CLQ,926,0,0.0,16,0,0.0
1CLU,160,0,0.0,25,0,0.0
1CML,389,19,0.04884318766066838,25,39,1.56
1COY,501,0,0.0,45,0,0.0
1CQ1,890,0,0.0,20,0,0.0
1CQX,806,0,0.0,29,0,0.0
1CRH,107,0,0.0,12,0,0.0
1CS1,1532,0,0.0,26,0,0.0
1F5F,172,5,0.029069767441860465,22,10,0.45454545454545453
1F7B,578,27,0.04671280276816609,22,25,1.1363636363636365
1F8F,362,1,0.0027624309392265192,32,0,0.0
1F8R,1932,0,0.0,44,0,0.0
1F98,125,2,0.016,14,0,0.0
1F9G,721,0,0.0,7,0,0.0
1F9H,158,5,0.03164556962025317,19,0,0.0
1F9I,125,4,0.032,15,0,0.0
1F9T,304,0,0.0,17,0,0.0
1F9U,310,0,0.0,18,0,0.0
1FA2,498,0,0.0,13,0,0.0
1FA9,833,0,0.0,9,0,0.0
1FAT,928,0,0.0,11,0,0.0
1FAV,106,0,0.0,4,0,0.0
1FBL,367,0,0.0,18,0,0.0
1FCP,695,0,0.0,14,0,0.0
1FCX,235,16,0.06808510638297872,26,0,0.0
1FCY,236,23,0.09745762711864407,26,0,0.0
1FCZ,235,12,0.05106382978723404,26,0,0.0
1FD0,235,23,0.09787234042553192,27,0,0.0
1FD5,12,0,0.0,3,0,0.0
1FD7,1030,0,0.0,15,0,0.0
1FDG,12,0,0.0,3,0,0.0
1FDK,123,0,0.0,20,0,0.0
1FDR,244,0,0.0,20,0,0.0
1FDW,279,0,0.0,15,0,0.0
1FEA,1942,0,0.0,50,0,0.0
1FEB,971,0,0.0,50,0,0.0
1FEC,970,15,0.015463917525773196,50,16,0.32
1FG3,351,0,0.0,20,0,0.0
1FG7,351,0,0.0,21,0,0.0
1FGX,545,0,0.0,10,0,0.0
1FH9,312,0,0.0,15,0,0.0
1FHD,312,0,0.0,14,0,0.0
1FHE,214,0,0.0,13,0,0.0
1FHI,125,0,0.0,25,0,0.0
1FHV,322,6,0.018633540372670808,17,34,2.0
1FHY,20,0,0.0,5,0,0.0
1FHZ,20,0,0.0,4,0,0.0
1FJS,279,0,0.0,24,0,0.0
1FK4,93,0,0.0,24,0,0.0
1FK5,93,0,0.0,27,0,0.0
1FK6,93,0,0.0,22,0,0.0
1FK7,93,0,0.0,25,0,0.0
1FKD,107,0,0.0,15,0,0.0
1FKN,782,0,0.0,19,0,0.0
1HX9,523,0,0.0,25,0,0.0
1HXA,528,0,0.0,23,0,0.0
1HXB,198,0,0.0,17,0,0.0
1HXC,528,0,0.0,22,0,0.0
1HXK,1014,0,0.0,2,0,0.0
1HYE,307,0,0.0,28,0,0.0
1HYF,104,0,0.0,15,0,0.0
1HYH,1185,2,0.0016877637130801688,34,0,0.0
1HYT,316,2,0.006329113924050633,16,0,0.0
1HYU,521,0,0.0,43,0,0.0
1HZ1,104,0,0.0,15,0,0.0
1I05,156,0,0.0,14,0,0.0
1I0V,104,17,0.16346153846153846,15,10,0.6666666666666666
1I1E,1287,0,0.0,16,0,0.0
1I1N,224,0,0.0,32,0,0.0
1I24,393,32,0.08142493638676845,36,24,0.6666666666666666
1I29,405,0,0.0,15,0,0.0
1I2B,393,5,0.01272264631043257,36,0,0.0
1I2C,393,8,0.020356234096692113,36,0,0.0
1I2E,104,0,0.0,15,0,0.0
1I2F,104,0,0.0,15,0,0.0
1I2G,104,0,0.0,15,0,0.0
1I2K,269,12,0.04460966542750929,20,0,0.0
1I2L,269,0,0.0,22,0,0.0
1I3F,104,1,0.009615384615384616,15,0,0.0
1I3I,104,1,0.009615384615384616,15,0,0.0
1I3U,126,0,0.0,18,0,0.0
1I3W,50,0,0.0,7,0,0.0
1I3Z,112,0,0.0,14,0,0.0
1I44,282,0,0.0,21,0,0.0
1I45,492,0,0.0,14,0,0.0
1I52,225,0,0.0,23,0,0.0
1I58,364,0,0.0,18,0,0.0
1I59,368,0,0.0,21,0,0.0
1I5D,190,0,0.0,18,0,0.0
1I5G,144,0,0.0,10,0,0.0
1I5O,926,0,0.0,5,0,0.0
1I5Q,714,0,0.0,20,0,0.0
1I5R,285,0,0.0,38,0,0.0
1I5S,330,8,0.024242424242424242,17,0,0.0
1I6I,333,10,0.03003003003003003,23,0,0.0
1I6K,316,2,0.006329113924050633,29,0,0.0
1I6L,316,5,0.015822784810126583,29,11,0.3793103448275862
1I6M,326,10,0.03067484662576687,31,11,0.3548387096774194
1I72,312,0,0.0,19,0,0.0
1I73,165,6,0.03636363636363636,13,0,0.0
1I76,163,5,0.03067484662576687,20,13,0.65
1I79,312,0,0.0,20,0,0.0
1I7B,311,0,0.0,23,0,0.0
1I7C,318,0,0.0,18,0,0.0
1I7E,237,0,0.0,12,0,0.0
1I8Q,814,0,0.0,4,0,0.0
1I9E,115,0,0.0,6,0,0.0
1I9G,264,0,0.0,26,0,0.0
1I9J,439,0,0.0,17,0,0.0
1I9Z,336,1,0.002976190476190476,8,0,0.0
1IAM,185,0,0.0,8,0,0.0
1IAY,419,0,0.0,18,0,0.0
1IB2,321,0,0.0,9,0,0.0
1IBK,3889,0,0.0,14,0,0.0
1IBL,3906,0,0.0,14,0,0.0
1IBW,927,0,0.0,15,0,0.0
1ICN,131,0,0.0,26,0,0.0
1ID0,146,11,0.07534246575342465,21,0,0.0
1IE7,790,2,0.002531645569620253,21,0,0.0
1IE8,250,0,0.0,29,0,0.0
1IE9,255,0,0.0,28,0,0.0
1KP2,431,0,0.0,24,0,0.0
1KP3,439,0,0.0,24,0,0.0
1KQM,1072,0,0.0,22,0,0.0
1KQR,160,22,0.1375,9,27,3.0
1KR5,218,3,0.013761467889908258,32,0,0.0
1KR6,316,4,0.012658227848101266,18,10,0.5555555555555556
1KRB,766,0,0.0,21,0,0.0
1KRM,349,0,0.0,21,0,0.0
1KRO,316,3,0.00949367088607595,12,0,0.0
1KRP,603,0,0.0,14,0,0.0
1KS7,316,4,0.012658227848101266,14,0,0.0
1KSG,308,0,0.0,27,0,0.0
1KSH,305,11,0.036065573770491806,23,0,0.0
1KSJ,300,10,0.03333333333333333,25,0,0.0
1KSP,603,0,0.0,14,0,0.0
1KSV,228,0,0.0,13,0,0.0
1KSW,449,0,0.0,28,0,0.0
1KTO,316,0,0.0,14,0,0.0
1KU6,596,0,0.0,6,0,0.0
1KV9,664,0,0.0,25,0,0.0
1KVK,378,0,0.0,25,0,0.0
1KVL,716,1,0.0013966480446927375,16,11,0.6875
1KVM,712,0,0.0,19,0,0.0
1KVO,744,0,0.0,20,0,0.0
1KW0,307,0,0.0,21,0,0.0
1KW6,288,8,0.027777777777777776,15,0,0.0
1KW8,288,0,0.0,15,0,0.0
1KW9,288,0,0.0,15,0,0.0
1KWC,288,0,0.0,14,0,0.0
1KWQ,258,0,0.0,17,0,0.0
1KWR,258,0,0.0,15,0,0.0
1KXH,448,0,0.0,7,0,0.0
1KY2,180,11,0.06111111111111111,30,0,0.0
1KY3,162,3,0.018518518518518517,19,0,0.0
1KY8,499,0,0.0,37,0,0.0
1KYP,225,4,0.017777777777777778,23,11,0.4782608695652174
1KYR,224,3,0.013392857142857142,23,0,0.0
1KYS,224,3,0.013392857142857142,23,0,0.0
1KZK,198,12,0.06060606060606061,19,9,0.47368421052631576
1KZN,186,0,0.0,19,0,0.0
1KZO,736,1,0.001358695652173913,24,0,0.0
1KZP,735,0,0.0,20,0,0.0
1L00,163,0,0.0,12,0,0.0
1L0Q,1540,0,0.0,7,0,0.0
1L0S,348,0,0.0,11,0,0.0
1L1H,24,0,0.0,6,0,0.0
1L1T,282,0,0.0,12,0,0.0
1L1Z,286,0,0.0,11,0,0.0
1L26,163,0,0.0,10,0,0.0
1L2B,286,0,0.0,12,0,0.0
1L2C,282,0,0.0,11,0,0.0
1L2D,282,0,0.0,11,0,0.0
1L2Q,456,29,0.06359649122807018,22,28,1.2727272727272727
1L2X,27,7,0.25925925925925924,2,22,2.127409664619071
1L36,161,0,0.0,12,0,0.0
1L3D,27,3,0.1111111111111111,2,22,2.7883021563538177
1L3R,358,0,0.0,27,0,0.0
1L48,163,0,0.0,12,0,0.0
1L4E,347,0,0.0,20,0,0.0
1L4F,346,0,0.0,27,0,0.0
1L4G,346,0,0.0,25,0,0.0
1L4H,346,0,0.0,27,0,0.0
1L4K,346,0,0.0,26,0,0.0
1L4L,347,0,0.0,26,0,0.0
1L4M,346,0,0.0,27,0,0.0
1L4U,165,1,0.006060606060606061,16,0,0.0
1L4X,112,0,0.0,8,0,0.0
1L4Y,165,1,0.006060606060606061,16,0,0.0
1L53,163,0,0.0,12,0,0.0
1L56,163,0,0.0,12,0,0.0
1L57,161,0,0.0,13,0,0.0
1L5K,346,0,0.0,22,0,0.0
1L5L,347,0,0.0,21,0,0.0
1L5M,342,0,0.0,21,0,0.0
1L5O,346,0,0.0,26,0,0.0
1L5W,1592,0,0.0,21,0,0.0
1L6I,1592,0,0.0,21,0,0.0
1L70,161,0,0.0,12,0,0.0
1L72,161,0,0.0,12,0,0.0
1L74,161,2,0.012422360248447204,13,0,0.0
1L75,161,0,0.0,12,0,0.0
1L7F,385,6,0.015584415584415584,19,0,0.0
1L7G,385,8,0.02077922077922078,18,0,0.0
1L7H,385,7,0.01818181818181818,19,0,0.0
1L8Q,317,0,0.0,19,0,0.0
1L8S,248,0,0.0,17,0,0.0
1L98,163,0,0.0,13,0,0.0
1L99,163,0,0.0,12,0,0.0
1L9B,918,0,0.0,22,0,0.0
1L9K,261,0,0.0,24,0,0.0
1LB2,383,0,0.0,20,0,0.0
1LBT,634,0,0.0,23,0,0.0
1LC7,358,0,0.0,15,0,0.0
1LC8,356,0,0.0,25,0,0.0
1LCA,316,0,0.0,15,0,0.0
1LCB,316,0,0.0,13,0,0.0
1LCE,316,0,0.0,21,0,0.0
1LCF,691,0,0.0,6,0,0.0
1LD7,720,0,0.0,13,0,0.0
1LD8,720,0,0.0,12,0,0.0
1LDE,1496,0,0.0,36,0,0.0
1LDN,2528,0,0.0,33,0,0.0
1LDY,1496,0,0.0,35,0,0.0
1LEE,331,0,0.0,27,0,0.0
1LEX,24,0,0.0,13,0,0.0
1LF2,329,0,0.0,28,0,0.0
1LF3,331,0,0.0,28,0,0.0
1LF8,646,0,0.0,4,0,0.0
1LF9,1348,0,0.0,18,0,0.0
1LGN,1020,0,0.0,12,0,0.0
1LGX,162,0,0.0,12,0,0.0
1LHN,176,5,0.028409090909090908,22,4,0.18181818181818182
1LHO,176,3,0.017045454545454544,23,0,0.0
1LHU,175,3,0.017142857142857144,23,0,0.0
1LHV,173,4,0.023121387283236993,23,0,0.0
1LHW,174,2,0.011494252873563218,22,0,0.0
1LI4,430,0,0.0,34,0,0.0
1LI6,162,0,0.0,12,0,0.0
1LJ8,481,0,0.0,26,0,0.0
1LJT,342,0,0.0,12,0,0.0
1LJU,130,0,0.0,17,0,0.0
1LK9,852,17,0.01995305164319249,21,0,0.0
1LKC,355,0,0.0,18,0,0.0
1LKE,157,0,0.0,19,0,0.0
1LL2,255,0,0.0,24,0,0.0
1LL5,709,0,0.0,14,0,0.0
1LL9,716,2,0.002793296089385475,18,8,0.4444444444444444
1LLB,716,0,0.0,20,0,0.0
1LLC,1926,0,0.0,16,0,0.0
1LLD,626,0,0.0,32,0,0.0
1LLR,515,11,0.021359223300970873,12,0,0.0
1LLW,1475,0,0.0,30,0,0.0
1LLZ,1475,0,0.0,30,0,0.0
1LM1,1475,0,0.0,29,0,0.0
1LMC,129,0,0.0,19,0,0.0
1LNM,160,0,0.0,19,0,0.0
1LNZ,642,0,0.0,17,0,0.0
1LO7,140,5,0.03571428571428571,19,0,0.0
1LO8,140,1,0.007142857142857143,19,0,0.0
1LO9,140,0,0.0,19,0,0.0
1LOA,908,0,0.0,11,0,0.0
1LOC,908,0,0.0,15,0,0.0
1LON,431,0,0.0,24,0,0.0
1LOO,431,0,0.0,21,0,0.0
1LOP,167,0,0.0,6,0,0.0
1LOQ,208,3,0.014423076923076924,20,0,0.0
1LOR,209,1,0.004784688995215311,23,0,0.0
1LOV,104,0,0.0,16,0,0.0
1LOW,104,0,0.0,14,0,0.0
1LOX,647,0,0.0,20,0,0.0
1LOY,104,0,0.0,14,0,0.0
1Q91,194,0,0.0,16,0,0.0
1Q92,195,0,0.0,19,0,0.0
1Q97,712,0,0.0,24,0,0.0
1Q9H,429,0,0.0,2,0,0.0
1Q9I,568,0,0.0,51,0,0.0
1Q9S,149,0,0.0,26,0,0.0
1Q9U,252,7,0.027777777777777776,14,0,0.0
1Q9Y,932,0,0.0,17,0,0.0
1QA7,860,0,0.0,18,0,0.0
1QAF,1438,0,0.0,19,0,0.0
1QAK,1440,0,0.0,20,0,0.0
1QAL,1438,0,0.0,17,0,0.0
1QB7,236,7,0.029661016949152543,10,0,0.0
1QB8,236,0,0.0,17,0,0.0
1QBO,223,5,0.02242152466367713,21,0,0.0
1QD0,128,0,0.0,17,0,0.0
1QD2,247,0,0.0,12,0,0.0
1QDA,5,0,0.0,2,0,0.0
1QDC,948,0,0.0,6,0,0.0
1QDQ,251,0,0.0,27,0,0.0
1QF0,316,0,0.0,24,0,0.0
1QF1,316,0,0.0,23,0,0.0
1QF2,316,0,0.0,19,0,0.0
1QF9,194,0,0.0,19,0,0.0
1QFC,287,0,0.0,8,0,0.0
1QFI,9,0,0.0,3,0,0.0
1QFK,348,14,0.040229885057471264,32,11,0.34375
1QFL,1552,0,0.0,26,0,0.0
1QFO,345,0,0.0,8,0,0.0
1QGD,1324,9,0.006797583081570997,27,0,0.0
1QGJ,600,34,0.056666666666666664,7,0,0.0
1QGL,474,0,0.0,11,0,0.0
1QGN,3184,0,0.0,18,0,0.0
1QGS,238,6,0.025210084033613446,16,0,0.0
1QGU,1994,21,0.01053159478435306,15,0,0.0
1QGX,353,0,0.0,19,0,0.0
1QH1,1994,17,0.008525576730190571,15,0,0.0
1QH5,520,0,0.0,15,0,0.0
1QH8,1994,18,0.009027081243731194,15,0,0.0
1QHG,622,0,0.0,19,0,0.0
1QHH,623,0,0.0,19,0,0.0
1QHJ,228,0,0.0,21,0,0.0
1QHO,686,11,0.016034985422740525,10,0,0.0
1QI2,302,3,0.009933774834437087,13,0,0.0
1QI9,1107,0,0.0,14,0,0.0
1QIQ,328,5,0.01524390243902439,23,0,0.0
1QJE,327,1,0.0030581039755351682,24,0,0.0
1QJF,328,0,0.0,23,0,0.0
1QJQ,707,0,0.0,16,0,0.0
1QK3,895,30,0.0335195530726257,16,0,0.0
1QK4,880,10,0.011363636363636364,19,0,0.0
1QK5,432,0,0.0,15,0,0.0
1QKC,707,0,0.0,20,0,0.0
1QKI,3912,0,0.0,25,0,0.0
1QKJ,351,0,0.0,22,0,0.0
1QKM,230,17,0.07391304347826087,19,10,0.5263157894736842
1QKN,228,7,0.03070175438596491,23,10,0.43478260869565216
1QKO,228,0,0.0,21,0,0.0
1QKP,228,9,0.039473684210526314,21,46,2.1904761904761907
1QKT,248,0,0.0,19,0,0.0
1QKU,744,0,0.0,19,0,0.0
1QLH,374,0,0.0,34,0,0.0
1QLL,242,0,0.0,19,0,0.0
1QLN,900,0,0.0,7,0,0.0
1QLR,846,0,0.0,4,0,0.0
1QLT,1100,0,0.0,39,0,0.0
1QLU,1100,0,0.0,42,0,0.0
1QMF,559,0,0.0,16,0,0.0
1QMG,2049,13,0.00634455832113226,29,8,0.27586206896551724
1QMO,920,0,0.0,12,0,0.0
1QMP,494,2,0.004048582995951417,16,0,0.0
1QNF,475,0,0.0,31,0,0.0
1QNW,946,0,0.0,4,0,0.0
1QOP,655,24,0.0366412213740458,24,0,0.0
1QOQ,648,4,0.006172839506172839,20,11,0.55
1QOT,946,0,0.0,3,0,0.0
1QPB,1110,0,0.0,29,0,0.0
1QPR,1704,0,0.0,20,0,0.0
1QQ6,488,36,0.07377049180327869,19,0,0.0
1QQ7,488,39,0.07991803278688525,19,3,0.15789473684210525
1QR0,228,0,0.0,19,0,0.0
1QR3,232,0,0.0,4,0,0.0
1QRA,166,7,0.04216867469879518,31,4,0.12903225806451613
1QRP,326,0,0.0,27,0,0.0
1QRS,603,0,0.0,24,0,0.0
1QRT,603,0,0.0,24,0,0.0
1QRU,603,0,0.0,23,0,0.0
1QS7,324,8,0.024691358024691357,17,4,0.23529411764705882
1QTE,619,24,0.03877221324717286,4,0,0.0
1QTI,532,0,0.0,20,0,0.0
1QTQ,603,0,0.0,27,0,0.0
