,PDB,RFree,Rwork,Resolution,Spacegroup
91,6qud,0.2086,,2.1,P 1 21 1
92,3bfa,0.23581,,2.25,C 2 2 21
93,8th6,0.29535,,2.34,P 1 21 1
94,5tcm,0.218,,2.2,C 1 2 1
95,5fcu,0.223,,1.85,C 2 2 21
96,3lha,0.2838,,2.8,P 41 21 2
97,7lfg,0.1505,,1.22,P 41 21 2
98,8coz,0.2164,,1.44,P 1
99,2f5w,,,2.0,P 32
100,8afk,0.28,,2.02,I 2 2 2
101,4cer,0.2007,,1.7,P 31
102,7lgd,0.2692,,2.88,P 21 21 21
103,3vyf,0.266,,2.8,P 21 3
104,6qtr,0.1613,,1.37,P 21 21 21
105,8bcx,0.2272,,1.94,P 1 21 1
106,7a1x,0.1739,,1.32,P 21 21 21
107,5ag4,0.2467,,1.99,P 1 21 1
108,3aw5,0.224,,2.0,I 41
109,3tcn,0.2281,,2.3,P 1 21 1
110,6auz,0.243,,2.0,P 21 21 21
111,2fa4,0.25861,,2.38,P 41 21 2
112,3loa,0.2305,,2.3,P 64
113,1ayb,,,3.0,P 43 21 2
114,7lek,0.2643,,2.75,C 1 2 1
115,5ypx,0.21185,,2.64,P 43
116,8fb7,0.1982,,1.75,C 1 2 1
117,4b3u,0.2615,,1.8,C 1 2 1
118,5fai,0.183,,1.8,P 65 2 2
119,7boa,0.254,,1.65,P 21 21 21
120,3qnx,0.224,,2.2,P 21 21 2
121,4q9z,0.256,,2.6,P 21 21 21
122,8ad4,0.2049,,1.5,P 21 21 21
123,1wam,0.268,,2.35,P 32 2 1
124,6l4i,0.2471,,2.2,P 1 21 1
125,2bla,0.2818,,2.5,C 1 2 1
126,6bh7,0.1978,,1.4,P 21 21 2
127,3thw,0.2872,,3.09,P 21 21 21
128,6b6m,0.2019,,1.91,C 1 2 1
129,7qsy,0.1969,,2.1,I 1 2 1
130,7yy7,0.2236,,1.54,C 2 2 21
131,7cnc,0.1859,,1.6,C 1 2 1
132,2bmh,,,2.0,P 1 21 1
133,1l83,,,1.7,P 32 2 1
134,6tha,0.2294,,2.4,C 1 2 1
135,3cmv,0.26144,,4.3,P 21 21 21
136,1yvp,0.238,,2.2,P 1 21 1
137,4kph,0.268,,2.59,P 21 21 21
138,8w0l,0.2394,,2.75,P 61 2 2
139,5yqa,0.1961,,1.38,P 1 21 1
140,7ae7,0.2268,,2.66,P 21 21 21
141,1hxx,0.249,,2.2,P 3 2 1
142,4am8,0.2057,,1.99,I 1 2 1
143,1bka,,,2.4,P 21 21 21
144,5i20,0.2495,,2.4,P 1 2 1
145,1th1,0.257,,2.5,P 1 21 1
146,3ied,0.273,,2.01,P 21 21 21
147,3f8y,0.2276,,1.45,H 3
148,1a6i,0.275,,2.4,I 41 2 2
149,8yvw,0.145,,1.19,P 21 21 21
150,6cly,0.2678,,2.19,P 1 21 1
151,6csf,0.2533,,3.3,P 61
152,8ff8,0.2171,,2.33,P 21 21 21
153,3l01,0.228,,2.6,P 21 21 21
154,2au3,0.23826,,2.0,P 21 21 21
155,7a42,0.1929,,1.75,P 1 21 1
156,2qb0,0.252,,2.56,P 32
157,6abz,0.23415,,1.7,P 43 21 2
158,5lgq,0.236,,2.11,P 21 21 2
159,3vyv,0.1762,,1.36,P 21 21 21
160,2ah6,0.179,,1.6,P 21 21 21
161,5cjz,0.2108,,1.8,P 6 2 2
162,7adi,0.2873,,2.8,P 21 21 2
163,7a2k,0.2358,,1.5,P 1
164,2bin,0.236,,1.9,P 65 2 2
165,8a49,0.3112,,3.45,P 21 21 21
166,3kro,0.256,,1.95,P 21 21 21
167,8bio,0.1986,,1.6,P 1 21 1
168,6ibx,0.2199,,2.11,P 65 2 2
169,8f9z,0.2164,,1.94,P 21 21 21
170,6yzq,0.1596,,1.04,P 1 21 1
171,4azb,0.2082,,2.1,P 31 2 1
172,2qkm,0.289,,2.8,P 1 21 1
173,4faj,0.1928,,1.9,P 21 21 21
174,7afw,0.281,,1.81,P 3 2 1
175,1w62,0.236,,2.5,C 1 2 1
176,3b59,0.257,,2.53,I 2 2 2
177,5afz,0.1741,,1.53,C 1 2 1
178,2vwz,0.2053,,1.65,P 1 21 1
179,7ld7,0.1433,,1.25,P 1 21 1
180,3aoc,0.344,,3.34,C 1 2 1
181,4fhh,0.258,,2.33,P 65 2 2
182,7bim,0.2055,,1.64,P 1 21 1
183,6vu9,0.2291,,2.2,C 2 2 21
184,5l2h,0.1993,,1.8,P 1 21 1
185,2i2s,0.21952,,2.3,P 21 21 21
186,3vul,0.31501,,2.81,P 63 2 2
187,8tfh,0.334,,3.29,I 41 2 2
188,8fi7,0.289,,2.9,P 21 21 21
189,5kx8,0.233,,2.67,C 1 2 1
190,4chp,0.1977,,1.9,P 31
191,3l4d,0.2666,,2.75,P 1 21 1
192,5w5p,0.217,,2.43,P 63 2 2
193,7aws,0.2385,,1.81,C 1 2 1
194,7f8a,0.23,,1.9,P 42 21 2
195,5bq9,0.2263,,2.28,P 1 21 1
196,2qpl,0.2176,,2.1,P 21 3
197,4lj4,0.30786,,2.8,P 65
198,8w03,0.2447,,1.68,P 1
199,9bl3,0.2289,,2.0,P 1
200,8fan,0.2501,,2.9,P 63 2 2
201,4au2,0.2404,,2.3,P 1
202,5kq5,0.259,,3.41,P 61 2 2
203,1q9h,0.229,,2.35,P 41 21 2
204,5qbw,0.254,,3.01,P 41 21 2
205,4kqg,0.2249,,1.9,P 21 21 2
206,7kpt,0.2013,,1.91,C 1 2 1
207,5yql,0.1853,,1.6,P 1 21 1
208,5qlv,0.264,,2.34,C 1 2 1
209,1yqr,0.251,,2.43,P 65 2 2
210,3tku,0.273,,2.15,P 1 21 1
211,1aip,0.289,,3.0,P 1 21 1
212,5fd9,0.225,,1.6,P 1 21 1
213,8cq4,0.2453,,1.65,P 21 21 21
214,5cqg,0.273,,2.3,P 1 21 1
215,8bgx,0.2204,,1.9,P 1 21 1
216,4kpx,0.2265,,2.21,H 3 2
217,6ag5,0.2493,,2.32,P 21 21 21
218,9b0z,0.2695,,2.41,C 1 2 1
219,3qph,0.2609,,2.99,P 32 2 1
220,1cr7,0.272,,2.6,P 1 21 1
221,4w4q,0.1958,,2.0,I 2 2 2
222,7t2v,0.237,,2.47,P 1
223,1ywd,,,1.08,C 1 2 1
224,3l4g,0.287,,3.3,C 1 2 1
225,8aif,0.1766,,1.07,P 21 21 21
226,1bkb,0.236,,1.75,I 4
227,3qzo,0.244,,1.95,P 1 21 1
228,8f7g,0.2652,,2.4,P 21 21 21
229,2akf,0.196,,1.2,P 1
230,4lgd,0.244,,3.05,C 1 2 1
231,3la9,0.154,,2.05,H 3
232,2qe4,0.279,,2.4,C 1 2 1
233,8avk,0.2563,,2.1,P 1 21 1
234,2ahb,0.248,,2.0,C 1 2 1
235,7kt4,0.2037,,1.92,P 21 21 21
236,3f9n,0.216,,1.9,P 1 21 1
237,7bmb,0.2375,,1.83,P 21 21 21
238,2b63,0.273,,3.8,C 2 2 21
239,3bi1,0.16892,,1.5,I 2 2 2
240,6ao6,0.2606,,2.98,P 21 21 21
241,6b71,0.1932,,1.52,P 21 3
242,2qz3,0.188,,1.8,P 1 21 1
243,4i6k,0.2804,,2.28,P 31 2 1
244,3qwn,,,2.42,P 31
245,8td8,0.1929,,1.71,C 1 2 1
246,2abj,0.257,,2.2,P 21 21 21
247,8vz4,0.1952,,1.25,P 1 21 1
248,1qnj,,,1.1,P 21 21 21
249,4i7w,0.186,,1.3,C 2 2 21
250,7bgn,0.2458,,2.7,C 1 2 1
251,6i6y,0.2681,,2.15,P 41 21 2
252,4f6l,0.246,,3.86,P 21 21 21
253,7a3k,0.2444,,2.65,C 2 2 21
254,1i5p,0.231,,2.2,P 43 21 2
255,6at7,0.2018,,2.49,I 41 2 2
256,5qfi,0.218,,1.68,P 31 2 1
257,2ae0,0.237,,2.0,P 31 2 1
258,8afd,0.2654,,1.63,C 2 2 21
259,6z2n,0.2623,,3.03,P 21 21 2
260,6bga,0.237,,2.31,I 1 2 1
261,8bqf,0.2579,,2.05,P 2 21 21
262,8fhz,0.265,,2.6,P 21 21 21
263,3l3c,0.303,,2.85,P 1 21 1
264,9b9m,0.2411,,2.07,P 1 21 1
265,4cgn,0.22353,,1.69,P 1 21 1
266,1yxa,0.239,,2.1,P 21 21 21
267,1kuj,0.235,,2.0,P 1 21 1
268,1kqs,0.22,,3.1,C 2 2 21
269,3tad,0.2583,,2.9,P 61
270,5w13,0.246,,1.95,P 1 21 1
271,1cpd,,,2.2,P 21 21 21
272,7f9c,0.2528,,2.2,P 1 21 1
273,7a5d,0.1978,,1.8,P 43 21 2
274,2anj,0.248,,2.1,P 21 21 2
275,3cnj,0.175,,0.95,P 12 1 1
276,5i3r,0.231,,2.4,P 43 21 2
277,4yx1,0.205,,1.35,P 1 21 1
278,3qq8,0.21,,2.0,P 65
279,3a56,0.2061,,1.73,P 21 21 21
280,6az5,0.2555,,2.2,P 65 2 2
281,3be4,0.202,,1.6,H 3
282,1a5v,0.21,,1.9,P 43 21 2
283,7yza,0.148,,1.18,C 1 2 1
284,4a9w,0.238,,2.72,P 32
285,4blb,0.2344,,2.8,P 1 21 1
286,5i1i,0.33698,,2.5,P 31
287,2aeq,0.312,,3.0,P 4 21 2
288,2cnn,0.206,,1.7,I 2 2 2
289,1ysb,0.189,,1.7,P 1 21 1
290,7l6z,0.2124,,1.88,P 1 21 1
291,3qah,0.2283,,2.1,P 21 21 21
292,3bq8,0.302,,2.5,P 1 21 1
293,4kw0,0.2442,,1.49,P 21 21 21
294,7vtv,0.3244,,2.8,C 2 2 21
295,6qhy,0.2318,,1.7,P 1 21 1
296,1a0e,0.203,,2.7,C 2 2 21
297,7z1r,0.2175,,1.6,P 32 2 1
298,6qh7,0.248,,3.4,P 41 21 2
299,1z3h,0.288,,3.1,P 21 21 2
300,3alw,0.283,,3.55,P 63 2 2
301,2azp,0.209,,2.13,I 2 2 2
302,5axs,0.18816,,1.67,F 4 3 2
303,8qf5,0.1926,,1.5,P 2 21 21
304,7qub,0.2188,,2.07,P 4 3 2
305,2b5z,0.225,,1.6,P 21 21 21
306,6aur,0.213,,1.75,P 21 21 21
307,7alm,0.2615,,2.8,P 21 21 21
308,6le2,0.2287,,2.14,P 61 2 2
309,194d,,,2.3,P 21 21 21
310,6t9y,0.161,,1.92,P 63 2 2
311,8w0z,0.256,,2.0,P 1
312,4ypi,0.285,,3.71,F 2 2 2
313,7fb7,0.1733,,1.45,H 3 2
314,6aut,0.235,,1.9,P 21 21 21
315,1a0i,0.341,,2.6,P 21 21 2
316,1bm2,0.232,,2.1,P 3 2 1
317,7kz2,0.2177,,1.9,C 2 2 21
318,6a7a,0.2233,,2.37,P 1 21 1
319,4a3p,0.2213,,1.4,P 1 21 1
320,6z18,0.288,,1.81,H 3 2
321,4z1w,0.16,,1.3,C 1 2 1
322,3akq,0.204,,0.97,P 21 21 21
323,5t8q,0.25024,,2.63,P 43
324,7b8w,0.2862,,2.8,P 1 21 1
325,3b9i,0.248,,2.49,P 21 21 21
326,5avz,0.298,,3.2,C 1 2 1
327,3arp,0.187,,1.55,P 1 21 1
328,8b34,0.114,,0.97,P 1 21 1
329,7a7o,0.2412,,1.8,H 3 2
330,2hx9,0.218,,1.7,P 21 21 21
331,4ckk,0.1886,,1.9,P 1
332,7bj6,0.258,,1.59,P 65 2 2
333,7kzg,0.2046,,1.68,P 21 21 21
334,6t57,0.2131,,1.57,C 1 2 1
335,1qgl,0.2,,2.66,C 2 2 21
336,4tkq,0.2598,,2.8,P 65 2 2
337,3te8,0.228,,1.7,P 1 21 1
338,2a9v,0.246,,2.24,P 21 21 2
339,5yoq,0.2555,,2.65,P 1 21 1
340,6vuu,0.22,,2.6,H 3 2
341,4cql,0.2358,,2.85,P 1 21 1
342,7aa1,0.2011,,1.71,P 21 3
343,8hy8,0.244,,2.57,P 65 2 2
344,1kw5,,,1.75,P 32 2 1
345,7yy1,0.225,,1.7,C 2 2 21
346,5w44,0.224,,2.1,P 64 2 2
347,4i3e,0.2596,,2.6,P 21 2 21
348,4a81,0.2301,,2.05,P 1 21 1
349,6vvu,0.232,,3.0,P 1 21 1
350,6z4x,0.2464,,2.98,P 1 21 1
351,6l59,0.2265,,2.25,P 31 2 1
352,5fjr,0.2205,,2.44,H 3 2
353,7qp0,0.2023,,1.6,C 1 2 1
354,2ylp,0.24944,,2.3,P 21 21 21
355,7f9n,0.3302,,3.0,P 41 21 2
356,8b0s,0.2727,,2.42,C 1 2 1
357,1q91,0.206,,1.6,P 43 21 2
358,5l3i,0.2121,,1.7,P 43 21 2
359,7fit,0.2543,,2.75,P 63
360,6i55,0.2176,,1.98,P 1 21 1
361,2w9r,0.254,,1.7,P 1
362,6lfb,0.2563,,1.99,P 43 21 2
363,3lb9,0.268,,3.0,C 1 2 1
364,5w22,0.2045,,1.76,H 3
365,5cf6,0.2139,,2.5,P 41
366,6lko,0.2052,,2.0,P 2 21 21
367,7aj4,0.2118,,2.0,P 43 21 2
368,5t2g,0.278,,2.55,C 2 2 21
369,6ckh,0.22,,2.1,C 1 2 1
370,5i7j,0.2677,,2.54,C 2 2 21
371,3kxd,0.2536,,2.2,P 1 21 1
372,2ibd,0.20077,,1.5,C 2 2 21
373,6vzk,0.2944,,2.55,P 21 21 21
374,4f71,0.2581,,2.27,P 21 21 21
375,6vz0,0.212,,1.75,P 21 21 21
376,4z45,0.207,,2.02,P 31 2 1
377,6vzf,0.2459,,2.03,P 31 2 1
378,3lfr,0.212,,1.53,P 1 21 1
379,6b6u,0.149,,1.35,C 1 2 1
380,4i50,0.2463,,2.3,P 21 21 21
381,6vxr,0.2483,,2.1,P 21 21 21
382,6cgf,0.232,,1.94,C 1 2 1
383,1teu,0.175,,2.0,P 1 21 1
384,7crl,0.3309,,1.85,C 1 2 1
385,7lmp,0.2639,,2.29,P 21 21 21
386,1a6j,0.251,,2.35,P 43 21 2
387,3a5i,0.29,,2.8,I 41
388,6tgk,0.2068,,1.3,I 4 2 2
389,7lgn,0.326,,3.1,I 41
390,2bry,0.222,,1.45,P 1 21 1
391,6b08,0.2328,,2.2,C 1 2 1
392,3qlj,0.194,,1.8,P 1 21 1
393,3lfv,0.2846,,2.8,P 31 2 1
394,6a59,0.2298,,1.82,P 41
395,5co1,0.23943,,2.51,C 1 2 1
396,3br3,0.2933,,2.8,P 62
397,6ywh,0.1884,,1.07,P 21 21 2
398,4kzv,0.207,,1.4,P 41 21 2
399,7cma,0.2585,,2.01,P 32
400,5ayg,0.2267,,2.6,P 61
401,3bcr,0.2188,,2.14,P 43 21 2
402,1f9w,0.276,,2.5,P 43
403,2bhz,0.142,,1.2,P 21 21 21
404,8fbi,0.2788,,3.61,H 3
405,4a41,0.22406,,1.55,C 1 2 1
406,6fgr,0.2215,,1.5,P 1
407,4lif,0.2229,,2.6,I 41
408,3al2,0.204,,2.0,C 1 2 1
409,2a2n,0.2454,,1.65,C 1 2 1
410,3blv,0.2649,,3.2,C 1 2 1
411,5b30,0.1957,,1.6,H 3 2
412,6qy0,0.1945,,1.7,P 43 21 2
413,5vtv,0.212,,2.25,C 1 2 1
414,2qy6,0.268,,2.0,C 2 2 21
415,7tab,0.2009,,1.16,P 1 21 1
416,7ahb,0.224,,1.9,P 1
417,4f74,0.2069,,2.2,P 21 21 21
418,7ar4,0.2419,,2.6,P 21 21 21
419,6ich,0.2419,,2.0,I 4 2 2
420,2f8w,0.215,,1.2,P 21 21 21
421,6kyd,0.2553,,3.1,I 2 3
422,4ceq,0.1984,,1.7,P 31
423,9bkg,0.2037,,1.57,P 31 2 1
424,3tkn,0.2853,,3.4,P 1 21 1
425,4ick,0.2346,,2.1,P 43 21 2
426,4bfd,0.23525,,2.3,P 61 2 2
427,2qar,0.255,,2.4,P 32
428,5yqx,0.2188,,1.82,P 21 21 21
429,100d,,,1.9,P 21 21 21
430,1a8q,0.182,,1.75,P 63
431,8ar5,0.16225,,1.4,C 2 2 21
432,8f5q,0.2662,,1.9,I 1 2 1
433,4lmu,0.2044,,2.38,P 65
434,7atv,0.1411,,0.98,P 1
435,6w9v,0.2,,1.95,C 1 2 1
436,6ci6,0.2557,,2.8,P 61
437,3qg2,0.233,,2.3,P 21 21 21
438,4bhz,0.23,,2.85,I 2 2 2
439,1fhj,0.246,,1.8,P 21 21 21
440,6tja,0.22,,2.27,P 21 21 21
441,4i89,0.2222,,1.69,P 21 21 2
442,4ai2,0.19494,,1.79,P 21 21 21
443,6a54,0.2942,,2.3,P 1 21 1
444,5ysx,0.1671,,1.2,P 32 2 1
445,5hzr,0.2131,,2.33,C 2 2 21
446,5lje,0.223,,1.4,P 21 21 21
447,3vzz,0.246,,2.04,P 1 21 1
448,4b8p,0.2038,,2.3,P 1 21 1
449,2ano,0.25,,2.68,P 21 21 21
450,7lcl,0.2648,,2.3,P 1 21 1
451,6b81,0.2016,,1.76,P 1 21 1
452,4lkq,0.2333,,1.62,P 21 21 21
453,3qrt,0.221,,1.75,P 21 21 21
454,5a37,0.21586,,1.88,P 1
455,8te9,0.169,,1.25,P 21 21 21
456,7co6,0.2144,,1.9,P 21 21 21
457,1w2e,0.289,,2.8,P 41 21 2
458,7adv,0.2191,,2.65,P 41 21 2
459,8yxn,0.1968,,1.6,P 1
460,3l46,0.205,,1.48,P 21 21 21
461,3f9h,0.294,,2.9,P 21 21 21
462,2a2e,0.362,,3.85,C 1 2 1
463,7crx,0.3076,,1.85,C 1 2 1
464,1bc5,0.288,,2.2,P 21 21 21
465,5ad2,0.236,,2.01,P 21 21 21
466,6lgb,0.1815,,1.7,P 21 21 21
467,4qdt,0.175,,1.5,P 21 21 21
468,2a52,0.222,,1.7,C 2 2 21
469,9b44,0.2806,,2.01,P 21 21 21
470,2asl,0.28686,,2.65,P 1 21 1
471,2hzg,0.19453,,2.02,P 21 21 21
472,2w8i,0.231,,3.0,P 21 21 2
473,3fd9,0.263,,2.6,P 21 21 2
474,1ibb,0.21,,2.1,H 3 2
475,3ba3,0.196,,1.55,P 43 3 2
476,5qxr,0.1916,,1.66,P 65 2 2
477,2qe2,0.296,,2.9,P 21 21 21
478,5hz7,0.1909,,1.43,P 21 21 21
479,8aj0,0.2661,,2.52,P 1 21 1
480,5i3e,0.1866,,1.65,P 1 21 1
481,6bmz,0.2767,,2.63,P 21 21 21
482,8amt,0.1746,,1.5,P 21 21 21
483,5f6r,0.166,,1.18,P 21 21 21
484,5a4u,0.2335,,2.0,P 21 21 21
485,4f5b,0.2303,,1.57,P 61
486,5kzp,0.261,,2.26,P 1
487,7bax,0.2258,,2.9,P 31 2 1
488,6arb,0.2616,,1.72,C 1 2 1
489,7ai2,0.2466,,3.61,P 65
490,3qvj,0.239,,2.1,P 63 2 2
491,8qkt,0.321,,3.26,P 1 21 1
492,4i8w,0.23283,,1.96,P 61
493,7bep,0.2408,,2.61,P 21 21 21
494,5aes,0.2466,,2.75,I 2 3
495,6tjd,0.2193,,2.1,P 1 21 1
496,6bpd,0.2619,,2.32,C 1 2 1
497,3hys,0.223,,2.3,P 41 21 2
498,2yyl,0.192,,1.75,I 2 2 2
499,2qts,0.233,,1.9,P 21
500,180l,,,1.75,P 1 21 1
501,5w67,0.2347,,2.3,P 21 21 21
502,4qw9,0.27,,2.4,P 21 21 2
503,6bax,0.209,,2.05,P 1 21 1
504,1cs8,0.229,,1.8,P 32 2 1
505,5ynd,0.2425,,2.23,P 43 21 2
506,4kwh,0.177,,1.7,P 41 21 2
507,3a8o,0.22597,,1.47,C 1 2 1
508,3lks,0.26,,1.9,P 21 21 21
509,4i51,0.195,,1.9,P 21 21 21
510,1aon,0.291,,3.0,P 21 21 2
511,4f8x,0.1698,,1.47,P 1 21 1
512,6a9x,0.2489,,2.2,I 2 3
513,4qhx,0.1789,,1.8,H 3
514,1l91,,,1.8,P 32 2 1
515,6tj6,0.2248,,2.0,P 41
516,5ldq,0.2126,,1.7,C 1 2 1
517,8qci,0.2565,,2.2,P 21 21 21
518,6ldz,0.2287,,2.4,I 2 3
519,8te0,0.2376,,1.42,H 3 2
520,4bbh,0.26443,,1.63,P 21 21 21
521,7abw,0.2988,,3.35,P 21 21 2
522,1z3x,0.20856,,1.5,P 1 21 1
523,1yys,0.274,,2.75,P 31 2 1
524,5acx,0.1925,,1.8,C 1 2 1
525,2aa2,0.235,,1.95,C 2 2 21
526,6qnp,0.2914,,2.7,P 1 21 1
527,1i04,0.25,,2.0,P 32 2 1
528,5qnd,0.258,,1.9,C 1 2 1
529,2qmp,0.24783,,1.8,P 21 21 2
530,6z14,0.2055,,1.67,P 21 21 21
531,1aqj,0.286,,2.6,P 21 21 2
532,6ad7,0.2694,,2.95,C 1 2 1
533,6abt,0.2883,,2.8,P 64
534,6ais,0.2029,,1.3,P 1 21 1
535,8fg9,0.245,,1.95,P 21 21 21
536,1a0c,0.177,,2.5,P 21 21 21
537,3akk,0.2613,,2.5,P 1
538,7fai,0.2317,,2.1,P 21 21 2
539,7lg7,0.2056,,2.3,P 31 2 1
540,8t88,0.1846,,1.54,P 1 21 1
541,6bkl,0.2439,,2.0,P 1 21 1
542,5fbj,0.246,,2.42,P 21 21 21
543,3cmr,0.213,,2.05,P 63 2 2
544,5qn6,0.262,,1.9,C 1 2 1
545,1vxa,,,2.0,P 1 21 1
546,1i4r,0.243,,2.1,P 43 21 2
547,5qam,0.2106,,1.87,P 21 21 21
548,8bbu,0.1554,,1.1,P 1
549,8tgd,0.252,,2.93,P 1 21 1
550,4hx5,0.199,,2.19,P 1 21 1
551,5qk7,0.2549,,1.66,P 1
552,4kq5,0.247,,2.4,P 41 21 2
553,4z2w,0.2464,,2.5,P 41 21 2
554,2qth,0.26394,,2.0,P 21 21 21
555,8icb,,,3.1,P 21 21 2
556,6lbc,0.2254,,1.8,I 4
557,5tkr,0.208,,1.8,P 41 21 2
558,4i6i,0.2773,,2.5,P 63 2 2
559,7lnl,0.1868,,1.82,P 1
560,7fa3,0.220288,,1.85,P 21 21 21
561,5bkl,0.2556,,2.94,P 2 3
562,4wae,0.2441,,3.32,P 43
563,4lnu,0.195,,2.19,P 1
564,3l74,0.286,,2.76,P 21 21 21
565,6a9o,0.23712,,2.5,C 2 2 21
566,3cqr,0.234,,2.0,I 41 2 2
567,5yuh,0.2782,,1.8,P 61 2 2
568,3q99,0.2393,,2.15,P 21 21 21
569,8qke,0.2258,,1.5,P 1
570,7bq1,0.2133,,1.52,P 1 21 1
571,6i9m,0.181,,1.65,P 21 21 21
572,3f8f,0.2796,,2.2,P 21 21 21
573,8qd6,0.18826,,1.7,C 2 2 21
574,3qy0,0.171,,1.6,C 1 2 1
575,3qfv,0.26757,,2.65,P 1 21 1
576,3bpp,0.31,,2.3,I 4 2 2
577,8bij,0.2188,,1.55,P 21 21 21
578,6w44,0.163,,1.64,I 4
579,7b9z,0.1663,,1.44,P 21 21 21
580,6ktx,0.2133,,2.19,P 21 21 2
581,4l05,0.1183,,1.1,I 2 2 2
582,5yts,0.227,,1.77,P 62
583,8a1m,0.2492,,2.3,P 1 21 1
584,6b4z,0.2077,,1.74,P 21 21 2
585,8f65,0.2392,,2.85,P 61 2 2
586,4cel,0.239,,2.2,P 21 21 2
587,6b1m,0.23,,1.9,P 1 21 1
588,5z1b,0.1602,,1.45,P 1 21 1
589,7a3o,0.2678,,2.8,P 63 2 2
590,4kzf,0.2028,,1.85,P 42 3 2
591,4b9g,0.1665,,1.04,P 21 21 21
