,PDB,total_residues,altloc_residues,proportion_altlocs
163,1B6P,30,4,0.13333333333333333
164,1B7Y,30,0,0.0
165,1B80,15,3,0.2
166,1B8F,15,0,0.0
167,1B8G,19,0,0.0
168,1B9C,26,0,0.0
169,1B9H,20,0,0.0
170,1B9S,21,0,0.0
171,1B9T,20,0,0.0
172,1B9V,21,0,0.0
173,1BA0,24,0,0.0
174,1BA1,25,0,0.0
175,1BAV,14,0,0.0
176,1BC5,27,0,0.0
177,1BCC,19,0,0.0
178,1BCP,21,0,0.0
179,1BCU,14,0,0.0
180,1BDB,37,0,0.0
181,1BDO,9,0,0.0
182,1BDQ,15,0,0.0
183,1BDR,15,0,0.0
184,1BE4,15,0,0.0
185,1BE6,15,0,0.0
186,1BE8,14,0,0.0
187,1BEU,34,0,0.0
188,1BF4,10,0,0.0
189,1BF5,3,0,0.0
190,1BFD,19,0,0.0
191,1BFF,7,0,0.0
192,1BFV,14,0,0.0
193,1BG0,22,0,0.0
194,1BG9,5,0,0.0
195,1BGJ,41,0,0.0
196,1BGN,41,0,0.0
197,1BGQ,15,0,0.0
198,1BH5,24,0,0.0
199,1BH6,30,3,0.1
200,1BHN,16,0,0.0
201,1BIB,19,0,0.0
202,1BIF,28,0,0.0
203,1BIK,6,0,0.0
204,1BIQ,13,0,0.0
205,1BJN,26,3,0.11538461538461539
206,1BJO,26,0,0.0
207,1BJQ,9,0,0.0
208,1BJV,21,0,0.0
209,1BK0,24,0,0.0
210,1BKF,16,0,0.0
211,1BKM,16,0,0.0
212,1BKW,40,0,0.0
213,1BKY,24,0,0.0
214,1BM2,14,0,0.0
215,1BMB,14,0,0.0
216,1BMF,21,0,0.0
217,1BMQ,20,0,0.0
218,1BO5,7,0,0.0
219,1BOB,26,0,0.0
220,1BOF,26,0,0.0
221,1BPW,34,0,0.0
222,1BPY,19,0,0.0
223,1BQ6,21,0,0.0
224,1BQ9,7,0,0.0
225,1BQH,7,0,0.0
226,1BQS,4,0,0.0
227,1BR5,15,0,0.0
228,1BR6,15,0,0.0
229,1BRD,21,0,0.0
230,1CET,12,0,0.0
231,1CF0,9,0,0.0
232,1CF2,31,0,0.0
233,1CF3,47,0,0.0
234,1CFV,15,0,0.0
235,1CG0,24,0,0.0
236,1CG1,26,0,0.0
237,1CG3,24,0,0.0
238,1CG4,24,0,0.0
239,1CGH,18,0,0.0
240,1CGK,25,10,0.4
241,1CGZ,25,10,0.4
242,1CIP,32,0,0.0
243,1CIV,34,0,0.0
244,1CIW,4,0,0.0
245,1CJ0,22,0,0.0
246,1CJ2,41,0,0.0
247,1CJ3,39,0,0.0
248,1CJ4,40,0,0.0
249,1CJC,42,14,0.3333333333333333
250,1CJF,6,0,0.0
251,1CJK,31,0,0.0
252,1CJP,11,0,0.0
253,1CJT,31,0,0.0
254,1CJU,31,0,0.0
255,1CJV,31,0,0.0
256,1CKN,19,0,0.0
257,1CKO,19,0,0.0
258,1CLQ,16,0,0.0
259,1CLU,25,0,0.0
260,1CML,25,39,1.56
261,1COY,45,0,0.0
262,1CQ1,20,0,0.0
263,1CQX,29,0,0.0
264,1CRH,12,0,0.0
265,1CS1,26,0,0.0
266,1F5F,22,10,0.45454545454545453
267,1F7B,22,25,1.1363636363636365
268,1F8F,32,0,0.0
269,1F8R,44,0,0.0
270,1F98,14,0,0.0
271,1F9G,7,0,0.0
272,1F9H,19,0,0.0
273,1F9I,15,0,0.0
274,1F9T,17,0,0.0
275,1F9U,18,0,0.0
276,1FA2,13,0,0.0
277,1FA9,9,0,0.0
278,1FAT,11,0,0.0
279,1FAV,4,0,0.0
280,1FBL,18,0,0.0
281,1FCP,14,0,0.0
282,1FCX,26,0,0.0
283,1FCY,26,0,0.0
284,1FCZ,26,0,0.0
285,1FD0,27,0,0.0
286,1FD5,3,0,0.0
287,1FD7,15,0,0.0
288,1FDG,3,0,0.0
289,1FDK,20,0,0.0
290,1FDR,20,0,0.0
291,1FDW,15,0,0.0
292,1FEA,50,0,0.0
293,1FEB,50,0,0.0
294,1FEC,50,16,0.32
295,1FG3,20,0,0.0
296,1FG7,21,0,0.0
297,1FGX,10,0,0.0
298,1FH9,15,0,0.0
299,1FHD,14,0,0.0
300,1FHE,13,0,0.0
301,1FHI,25,0,0.0
302,1FHV,17,34,2.0
303,1FHY,5,0,0.0
304,1FHZ,4,0,0.0
305,1FJS,24,0,0.0
306,1FK4,24,0,0.0
307,1FK5,27,0,0.0
308,1FK6,22,0,0.0
309,1FK7,25,0,0.0
310,1FKD,15,0,0.0
311,1FKN,19,0,0.0
312,1HX9,25,0,0.0
313,1HXA,23,0,0.0
314,1HXB,17,0,0.0
315,1HXC,22,0,0.0
316,1HXK,2,0,0.0
317,1HYE,28,0,0.0
318,1HYF,15,0,0.0
319,1HYH,34,0,0.0
320,1HYT,16,0,0.0
321,1HYU,43,0,0.0
322,1HZ1,15,0,0.0
323,1I05,14,0,0.0
324,1I0V,15,10,0.6666666666666666
325,1I1E,16,0,0.0
326,1I1N,32,0,0.0
327,1I24,36,24,0.6666666666666666
328,1I29,15,0,0.0
329,1I2B,36,0,0.0
330,1I2C,36,0,0.0
331,1I2E,15,0,0.0
332,1I2F,15,0,0.0
333,1I2G,15,0,0.0
334,1I2K,20,0,0.0
335,1I2L,22,0,0.0
336,1I3F,15,0,0.0
337,1I3I,15,0,0.0
338,1I3U,18,0,0.0
339,1I3W,7,0,0.0
340,1I3Z,14,0,0.0
341,1I44,21,0,0.0
342,1I45,14,0,0.0
343,1I52,23,0,0.0
344,1I58,18,0,0.0
345,1I59,21,0,0.0
346,1I5D,18,0,0.0
347,1I5G,10,0,0.0
348,1I5O,5,0,0.0
349,1I5Q,20,0,0.0
350,1I5R,38,0,0.0
351,1I5S,17,0,0.0
352,1I6I,23,0,0.0
353,1I6K,29,0,0.0
354,1I6L,29,11,0.3793103448275862
355,1I6M,31,11,0.3548387096774194
356,1I72,19,0,0.0
357,1I73,13,0,0.0
358,1I76,20,13,0.65
359,1I79,20,0,0.0
360,1I7B,23,0,0.0
361,1I7C,18,0,0.0
362,1I7E,12,0,0.0
363,1I8Q,4,0,0.0
364,1I9E,6,0,0.0
365,1I9G,26,0,0.0
366,1I9J,17,0,0.0
367,1I9Z,8,0,0.0
368,1IAM,8,0,0.0
369,1IAY,18,0,0.0
370,1IB2,9,0,0.0
371,1IBK,14,0,0.0
372,1IBL,14,0,0.0
373,1IBW,15,0,0.0
374,1ICN,26,0,0.0
375,1ID0,21,0,0.0
376,1IE7,21,0,0.0
377,1IE8,29,0,0.0
378,1IE9,28,0,0.0
379,1KP2,24,0,0.0
380,1KP3,24,0,0.0
381,1KQM,22,0,0.0
382,1KQR,9,27,3.0
383,1KR5,32,0,0.0
384,1KR6,18,10,0.5555555555555556
385,1KRB,21,0,0.0
386,1KRM,21,0,0.0
387,1KRO,12,0,0.0
388,1KRP,14,0,0.0
389,1KS7,14,0,0.0
390,1KSG,27,0,0.0
391,1KSH,23,0,0.0
392,1KSJ,25,0,0.0
393,1KSP,14,0,0.0
394,1KSV,13,0,0.0
395,1KSW,28,0,0.0
396,1KTO,14,0,0.0
397,1KU6,6,0,0.0
398,1KV9,25,0,0.0
399,1KVK,25,0,0.0
400,1KVL,16,11,0.6875
401,1KVM,19,0,0.0
402,1KVO,20,0,0.0
403,1KW0,21,0,0.0
404,1KW6,15,0,0.0
405,1KW8,15,0,0.0
406,1KW9,15,0,0.0
407,1KWC,14,0,0.0
408,1KWQ,17,0,0.0
409,1KWR,15,0,0.0
410,1KXH,7,0,0.0
411,1KY2,30,0,0.0
412,1KY3,19,0,0.0
413,1KY8,37,0,0.0
414,1KYP,23,11,0.4782608695652174
415,1KYR,23,0,0.0
416,1KYS,23,0,0.0
417,1KZK,19,9,0.47368421052631576
418,1KZN,19,0,0.0
419,1KZO,24,0,0.0
420,1KZP,20,0,0.0
421,1L00,12,0,0.0
422,1L0Q,7,0,0.0
423,1L0S,11,0,0.0
424,1L1H,6,0,0.0
425,1L1T,12,0,0.0
426,1L1Z,11,0,0.0
427,1L26,10,0,0.0
428,1L2B,12,0,0.0
429,1L2C,11,0,0.0
430,1L2D,11,0,0.0
431,1L2Q,22,28,1.2727272727272727
432,1L2X,2,22,11.0
433,1L36,12,0,0.0
434,1L3D,2,22,11.0
435,1L3R,27,0,0.0
436,1L48,12,0,0.0
437,1L4E,20,0,0.0
438,1L4F,27,0,0.0
439,1L4G,25,0,0.0
440,1L4H,27,0,0.0
441,1L4K,26,0,0.0
442,1L4L,26,0,0.0
443,1L4M,27,0,0.0
444,1L4U,16,0,0.0
445,1L4X,8,0,0.0
446,1L4Y,16,0,0.0
447,1L53,12,0,0.0
448,1L56,12,0,0.0
449,1L57,13,0,0.0
450,1L5K,22,0,0.0
451,1L5L,21,0,0.0
452,1L5M,21,0,0.0
453,1L5O,26,0,0.0
454,1L5W,21,0,0.0
455,1L6I,21,0,0.0
456,1L70,12,0,0.0
457,1L72,12,0,0.0
458,1L74,13,0,0.0
459,1L75,12,0,0.0
460,1L7F,19,0,0.0
461,1L7G,18,0,0.0
462,1L7H,19,0,0.0
463,1L8Q,19,0,0.0
464,1L8S,17,0,0.0
465,1L98,13,0,0.0
466,1L99,12,0,0.0
467,1L9B,22,0,0.0
468,1L9K,24,0,0.0
469,1LB2,20,0,0.0
470,1LBT,23,0,0.0
471,1LC7,15,0,0.0
472,1LC8,25,0,0.0
473,1LCA,15,0,0.0
474,1LCB,13,0,0.0
475,1LCE,21,0,0.0
476,1LCF,6,0,0.0
477,1LD7,13,0,0.0
478,1LD8,12,0,0.0
479,1LDE,36,0,0.0
480,1LDN,33,0,0.0
481,1LDY,35,0,0.0
482,1LEE,27,0,0.0
483,1LEX,13,0,0.0
484,1LF2,28,0,0.0
485,1LF3,28,0,0.0
486,1LF8,4,0,0.0
487,1LF9,18,0,0.0
488,1LGN,12,0,0.0
489,1LGX,12,0,0.0
490,1LHN,22,4,0.18181818181818182
491,1LHO,23,0,0.0
492,1LHU,23,0,0.0
493,1LHV,23,0,0.0
494,1LHW,22,0,0.0
495,1LI4,34,0,0.0
496,1LI6,12,0,0.0
497,1LJ8,26,0,0.0
498,1LJT,12,0,0.0
499,1LJU,17,0,0.0
500,1LK9,21,0,0.0
501,1LKC,18,0,0.0
502,1LKE,19,0,0.0
503,1LL2,24,0,0.0
504,1LL5,14,0,0.0
505,1LL9,18,8,0.4444444444444444
506,1LLB,20,0,0.0
507,1LLC,16,0,0.0
508,1LLD,32,0,0.0
509,1LLR,12,0,0.0
510,1LLW,30,0,0.0
511,1LLZ,30,0,0.0
512,1LM1,29,0,0.0
513,1LMC,19,0,0.0
514,1LNM,19,0,0.0
515,1LNZ,17,0,0.0
516,1LO7,19,0,0.0
517,1LO8,19,0,0.0
518,1LO9,19,0,0.0
519,1LOA,11,0,0.0
520,1LOC,15,0,0.0
521,1LON,24,0,0.0
522,1LOO,21,0,0.0
523,1LOP,6,0,0.0
524,1LOQ,20,0,0.0
525,1LOR,23,0,0.0
526,1LOV,16,0,0.0
527,1LOW,14,0,0.0
528,1LOX,20,0,0.0
529,1LOY,14,0,0.0
530,1Q91,16,0,0.0
531,1Q92,19,0,0.0
532,1Q97,24,0,0.0
533,1Q9H,2,0,0.0
534,1Q9I,51,0,0.0
535,1Q9S,26,0,0.0
536,1Q9U,14,0,0.0
537,1Q9Y,17,0,0.0
538,1QA7,18,0,0.0
539,1QAF,19,0,0.0
540,1QAK,20,0,0.0
541,1QAL,17,0,0.0
542,1QB7,10,0,0.0
543,1QB8,17,0,0.0
544,1QBO,21,0,0.0
545,1QD0,17,0,0.0
546,1QD2,12,0,0.0
547,1QDA,2,0,0.0
548,1QDC,6,0,0.0
549,1QDQ,27,0,0.0
550,1QF0,24,0,0.0
551,1QF1,23,0,0.0
552,1QF2,19,0,0.0
553,1QF9,19,0,0.0
554,1QFC,8,0,0.0
555,1QFI,3,0,0.0
556,1QFK,32,11,0.34375
557,1QFL,26,0,0.0
558,1QFO,8,0,0.0
559,1QGD,27,0,0.0
560,1QGJ,7,0,0.0
561,1QGL,11,0,0.0
562,1QGN,18,0,0.0
563,1QGS,16,0,0.0
564,1QGU,15,0,0.0
565,1QGX,19,0,0.0
566,1QH1,15,0,0.0
567,1QH5,15,0,0.0
568,1QH8,15,0,0.0
569,1QHG,19,0,0.0
570,1QHH,19,0,0.0
571,1QHJ,21,0,0.0
572,1QHO,10,0,0.0
573,1QI2,13,0,0.0
574,1QI9,14,0,0.0
575,1QIQ,23,0,0.0
576,1QJE,24,0,0.0
577,1QJF,23,0,0.0
578,1QJQ,16,0,0.0
579,1QK3,16,0,0.0
580,1QK4,19,0,0.0
581,1QK5,15,0,0.0
582,1QKC,20,0,0.0
583,1QKI,25,0,0.0
584,1QKJ,22,0,0.0
585,1QKM,19,10,0.5263157894736842
586,1QKN,23,10,0.43478260869565216
587,1QKO,21,0,0.0
588,1QKP,21,46,2.1904761904761907
589,1QKT,19,0,0.0
590,1QKU,19,0,0.0
591,1QLH,34,0,0.0
592,1QLL,19,0,0.0
593,1QLN,7,0,0.0
594,1QLR,4,0,0.0
595,1QLT,39,0,0.0
596,1QLU,42,0,0.0
597,1QMF,16,0,0.0
598,1QMG,29,8,0.27586206896551724
599,1QMO,12,0,0.0
600,1QMP,16,0,0.0
601,1QNF,31,0,0.0
602,1QNW,4,0,0.0
603,1QOP,24,0,0.0
604,1QOQ,20,11,0.55
605,1QOT,3,0,0.0
606,1QPB,29,0,0.0
607,1QPR,20,0,0.0
608,1QQ6,19,0,0.0
609,1QQ7,19,3,0.15789473684210525
610,1QR0,19,0,0.0
611,1QR3,4,0,0.0
612,1QRA,31,4,0.12903225806451613
613,1QRP,27,0,0.0
614,1QRS,24,0,0.0
615,1QRT,24,0,0.0
616,1QRU,23,0,0.0
617,1QS7,17,4,0.23529411764705882
618,1QTE,4,0,0.0
619,1QTI,20,0,0.0
620,1QTQ,27,0,0.0
621,1QU2,24,0,0.0
622,1QU3,26,0,0.0
623,1QU9,12,0,0.0
624,1QUT,11,0,0.0
625,1QV4,13,0,0.0
626,1QV6,35,0,0.0
627,1QV7,36,0,0.0
628,1QV8,13,0,0.0
629,1QVI,22,0,0.0
630,1QVJ,14,0,0.0
631,1QVT,12,0,0.0
632,1QVU,15,0,0.0
633,1QVV,18,0,0.0
634,1QVW,18,0,0.0
635,1QW6,6,0,0.0
636,1QWC,6,0,0.0
637,1QWN,2,0,0.0
638,1QWU,2,0,0.0
639,1QX1,16,0,0.0
640,1QX2,8,0,0.0
641,1QX6,20,0,0.0
642,1QXL,26,0,0.0
643,1QXW,19,0,0.0
644,1QXY,19,0,0.0
645,1QXZ,19,0,0.0
646,1QY1,13,0,0.0
647,1QY2,15,0,0.0
648,1QY8,17,0,0.0
649,1QYE,16,0,0.0
650,1QYF,25,0,0.0
651,1QYQ,16,0,0.0
652,1QYZ,31,16,0.5161290322580645
653,1QZ3,25,0,0.0
654,1QZ5,27,10,0.37037037037037035
655,1QZ6,26,0,0.0
656,1QZ9,16,0,0.0
657,1QZR,7,0,0.0
658,1QZW,3,0,0.0
659,1QZY,23,0,0.0
660,1QZZ,21,0,0.0
661,1R00,21,0,0.0
662,1R0A,10,0,0.0
663,1R0Q,30,9,0.3
664,1T10,12,0,0.0
665,1T15,10,0,0.0
666,1T24,36,0,0.0
667,1T25,35,0,0.0
668,1T26,37,0,0.0
669,1T27,47,0,0.0
670,1T2B,14,0,0.0
671,1T2C,32,0,0.0
672,1T2D,35,3,0.08571428571428572
673,1T2E,36,0,0.0
674,1T2V,10,0,0.0
675,1T31,22,0,0.0
676,1T32,22,0,0.0
677,1T38,13,0,0.0
678,1T39,15,0,0.0
679,1T3I,14,0,0.0
680,1T3P,7,3,0.42857142857142855
681,1T3T,26,0,0.0
682,1T40,32,0,0.0
683,1T41,32,4,0.125
684,1T44,26,0,0.0
685,1T46,29,5,0.1724137931034483
686,1T48,15,0,0.0
687,1T49,14,0,0.0
688,1T4E,19,0,0.0
689,1T4G,16,0,0.0
690,1T4J,15,0,0.0
691,1T5A,22,0,0.0
692,1T5B,22,0,0.0
693,1T5D,13,0,0.0
694,1T5S,27,0,0.0
695,1T5T,25,0,0.0
696,1T5Z,22,0,0.0
697,1T63,21,0,0.0
698,1T65,22,0,0.0
699,1T67,17,0,0.0
700,1T69,15,3,0.2
701,1T6H,17,0,0.0
702,1T6J,16,0,0.0
703,1T6P,14,0,0.0
704,1T73,22,0,0.0
705,1T74,21,0,0.0
706,1T76,22,3,0.13636363636363635
707,1T79,22,3,0.13636363636363635
708,1T7D,7,0,0.0
709,1T7F,22,3,0.13636363636363635
710,1T7M,22,0,0.0
711,1T7R,20,4,0.2
712,1T7T,22,4,0.18181818181818182
713,1T85,13,3,0.23076923076923078
714,1T8E,18,0,0.0
715,1T8X,12,0,0.0
716,1T9G,41,0,0.0
717,1T9S,19,0,0.0
718,1TA0,16,0,0.0
719,1TA8,12,0,0.0
720,1TAZ,15,4,0.26666666666666666
721,1TB6,4,0,0.0
722,1TB7,20,3,0.15
723,1TBF,19,3,0.15789473684210525
724,1TDG,14,9,0.6428571428571429
725,1TDJ,21,0,0.0
726,1TDK,44,0,0.0
727,1TDN,45,0,0.0
728,1TDO,45,0,0.0
729,1TDZ,16,0,0.0
730,1TEH,32,0,0.0
731,1TF2,20,0,0.0
732,1TF9,15,0,0.0
733,1TG2,16,0,0.0
734,1TH8,19,0,0.0
735,1THB,5,0,0.0
736,1THL,18,0,0.0
737,1THY,14,0,0.0
738,1TI7,26,10,0.38461538461538464
739,1TIW,36,0,0.0
740,1TJ0,36,0,0.0
741,1TJ1,36,0,0.0
742,1TJ2,37,0,0.0
743,1TJP,24,0,0.0
744,1TJY,16,0,0.0
745,1TK0,17,0,0.0
746,1TK5,11,0,0.0
747,1TK8,17,0,0.0
748,1TKD,17,0,0.0
749,1TKG,21,0,0.0
750,1TKT,20,0,0.0
751,1TKX,18,0,0.0
752,1TKY,20,0,0.0
753,1TKZ,21,0,0.0
754,1VTK,18,0,0.0
755,1VYF,26,3,0.11538461538461539
756,1VYG,28,3,0.10714285714285714
757,1VYP,25,0,0.0
758,1VYQ,16,0,0.0
759,1VYR,26,0,0.0
760,1VYS,26,0,0.0
761,1VYW,18,0,0.0
762,1VYZ,16,0,0.0
763,1VZA,15,0,0.0
764,1VZB,15,0,0.0
765,1VZC,17,0,0.0
766,1VZD,15,0,0.0
767,1VZE,18,0,0.0
768,1VZK,12,0,0.0
769,1VZO,11,0,0.0
770,1W03,20,0,0.0
771,1W04,21,0,0.0
772,1W05,22,0,0.0
773,1W06,22,0,0.0
774,1W07,39,3,0.07692307692307693
775,1W0C,32,0,0.0
776,1W0F,9,0,0.0
777,1W0G,10,0,0.0
778,1W0H,16,0,0.0
779,1W0O,13,0,0.0
780,1W0P,13,0,0.0
781,1W0X,16,3,0.1875
782,1W19,27,0,0.0
783,1W1D,8,0,0.0
784,1W1G,8,0,0.0
785,1W1J,43,0,0.0
786,1W1K,41,0,0.0
787,1W1M,43,0,0.0
788,1W1O,36,0,0.0
789,1W1R,37,0,0.0
790,1W1S,38,0,0.0
791,1W1U,45,0,0.0
792,1W1W,29,0,0.0
793,1W22,17,0,0.0
794,1W27,17,0,0.0
795,1W2C,20,0,0.0
796,1W2D,14,0,0.0
797,1W2G,15,0,0.0
798,1W2N,11,0,0.0
799,1W2O,11,0,0.0
800,1W2X,6,0,0.0
801,1W2Y,25,3,0.12
802,1W2Z,21,0,0.0
803,1W31,15,3,0.2
804,1W34,20,0,0.0
805,1W35,22,0,0.0
806,1W3C,16,0,0.0
807,1W3F,9,0,0.0
808,1W3G,10,0,0.0
809,1W3K,13,0,0.0
810,1W3L,13,4,0.3076923076923077
811,1W3M,1,0,0.0
812,1W3N,12,0,0.0
813,1W3R,6,0,0.0
814,1W3U,16,0,0.0
815,1W3V,24,0,0.0
816,1W3X,24,4,0.16666666666666666
817,1W3Y,13,0,0.0
818,1W44,11,0,0.0
819,1W46,11,0,0.0
820,1W47,11,0,0.0
821,1W48,13,0,0.0
822,1W49,13,0,0.0
823,1W4A,12,0,0.0
824,1W4B,11,0,0.0
825,1W4L,23,0,0.0
826,1W4N,25,10,0.4
827,1W4O,15,0,0.0
828,1W4P,16,0,0.0
829,1W4Q,15,0,0.0
830,1W4R,30,8,0.26666666666666666
831,1W4X,44,13,0.29545454545454547
832,1W4Z,33,0,0.0
833,1W51,28,0,0.0
834,1W55,6,0,0.0
835,1W5A,34,0,0.0
836,1W5B,34,0,0.0
837,1W5E,30,0,0.0
838,1W5F,33,0,0.0
839,1W5J,6,0,0.0
840,1W5K,7,0,0.0
841,1W5S,23,0,0.0
842,1W5T,24,0,0.0
843,1W5V,17,0,0.0
844,1W5W,18,0,0.0
845,1W5X,17,0,0.0
846,1W5Y,17,0,0.0
847,1W5Z,22,0,0.0
848,1W6C,18,0,0.0
849,1W6F,12,0,0.0
850,1W6G,19,20,1.0526315789473684
851,1W6H,27,0,0.0
852,1W6Y,16,0,0.0
853,1W73,28,0,0.0
854,1W77,18,0,0.0
855,1W7A,22,0,0.0
856,1W7I,19,0,0.0
857,1W7J,22,0,0.0
858,1W7K,26,0,0.0
859,1W7S,25,0,0.0
860,1W7T,24,9,0.375
861,1W7U,24,0,0.0
862,1W85,25,0,0.0
863,1W87,23,0,0.0
864,1W88,25,0,0.0
865,1W8C,19,0,0.0
866,1W8G,12,0,0.0
867,1W8N,17,8,0.47058823529411764
868,1W8S,19,0,0.0
869,1W8Y,16,0,0.0
870,1W98,11,0,0.0
871,1W9I,21,0,0.0
872,1W9J,21,0,0.0
873,1W9K,21,0,0.0
874,1W9L,22,0,0.0
875,1W9U,4,0,0.0
876,1WA5,32,0,0.0
877,1WAF,17,0,0.0
878,1WAJ,17,0,0.0
879,1WAM,42,0,0.0
880,1WAR,7,0,0.0
881,1WAW,5,0,0.0
882,1YLN,8,0,0.0
883,1YLV,15,11,0.7333333333333333
884,1YM2,21,0,0.0
885,1YM4,20,0,0.0
886,1YMC,20,0,0.0
887,1YMT,32,15,0.46875
888,1YNJ,22,0,0.0
889,1YNN,22,0,0.0
890,1YNO,19,0,0.0
891,1YNQ,30,0,0.0
892,1YNS,16,0,0.0
893,1YNU,26,0,0.0
894,1YOA,26,0,0.0
895,1YOE,16,0,0.0
896,1YOK,32,0,0.0
897,1YON,26,10,0.38461538461538464
898,1YOW,31,0,0.0
899,1YP4,31,0,0.0
900,1YP6,17,0,0.0
901,1YP9,22,0,0.0
902,1YPN,23,0,0.0
903,1YQ3,49,0,0.0
904,1YQ4,47,0,0.0
905,1YQ7,18,0,0.0
906,1YQL,23,0,0.0
907,1YQM,22,0,0.0
908,1YQN,8,0,0.0
909,1YQR,24,0,0.0
910,1YQY,20,0,0.0
911,1YR7,23,10,0.43478260869565216
912,1YR8,20,0,0.0
913,1YR9,19,0,0.0
